round,per_round_epsilon,accuracy,precision,recall,f1_score,roc_auc,pr_auc,num_samples
4,1.0,,,,,,,
5,1.0,,,,,,,
6,1.0,,,,,,,
7,1.0,,,,,,,
8,1.0,,,,,,,
9,1.0,,,,,,,
10,1.0,0.4668744345028652,0.45284974093264246,0.8771186440677966,0.5973118687827473,0.5036334571245079,0.4525965367391232,9947
11,1.0,,,,,,,
12,1.0,,,,,,,
13,1.0,,,,,,,
14,1.0,,,,,,,
15,1.0,,,,,,,
16,1.0,,,,,,,
17,1.0,,,,,,,
18,1.0,,,,,,,
19,1.0,,,,,,,
20,1.0,0.5492108173318588,0.0,0.0,0.0,0.5,0.45078918266814116,9947
21,1.0,,,,,,,
22,1.0,,,,,,,
23,1.0,,,,,,,
24,1.0,,,,,,,
25,1.0,,,,,,,
26,1.0,,,,,,,
27,1.0,,,,,,,
28,1.0,,,,,,,
29,1.0,,,,,,,
30,1.0,0.49019804966321506,0.4586677932685537,0.7263603925066905,0.5622788088044886,0.5113588526692339,0.45651189335626424,9947
31,1.0,,,,,,,
32,1.0,,,,,,,
33,1.0,,,,,,,
34,1.0,,,,,,,
35,1.0,,,,,,,
36,1.0,,,,,,,
37,1.0,,,,,,,
38,1.0,,,,,,,
39,1.0,,,,,,,
40,1.0,0.5485070875640897,0.3333333333333333,0.0015611061552185548,0.0031076581576026637,0.49949920583250584,0.45060582161877816,9947
41,1.0,,,,,,,
42,1.0,,,,,,,
43,1.0,,,,,,,
44,1.0,,,,,,,
45,1.0,,,,,,,
46,1.0,,,,,,,
47,1.0,,,,,,,
48,1.0,,,,,,,
49,1.0,,,,,,,
50,1.0,0.5492108173318588,0.0,0.0,0.0,0.5,0.45078918266814116,9947
1,5.0,,,,,,,
2,5.0,,,,,,,
3,5.0,,,,,,,
4,5.0,,,,,,,
5,5.0,,,,,,,
6,5.0,,,,,,,
7,5.0,,,,,,,
8,5.0,,,,,,,
9,5.0,,,,,,,
10,5.0,0.5404644616467277,0.40993788819875776,0.04415700267618198,0.07972619287296155,0.49592469688634416,0.4489764733767021,9947
11,5.0,,,,,,,
12,5.0,,,,,,,
13,5.0,,,,,,,
14,5.0,,,,,,,
15,5.0,,,,,,,
16,5.0,,,,,,,
17,5.0,,,,,,,
18,5.0,,,,,,,
19,5.0,,,,,,,
20,5.0,0.5048758419624008,0.4354697102721686,0.33184656556645853,0.3766611821288445,0.48952712538800064,0.445695354607069,9947
21,5.0,,,,,,,
22,5.0,,,,,,,
23,5.0,,,,,,,
24,5.0,,,,,,,
25,5.0,,,,,,,
26,5.0,,,,,,,
27,5.0,,,,,,,
28,5.0,,,,,,,
29,5.0,,,,,,,
30,5.0,0.5492108173318588,0.0,0.0,0.0,0.5,0.45078918266814116,9947
31,5.0,,,,,,,
32,5.0,,,,,,,
33,5.0,,,,,,,
34,5.0,,,,,,,
35,5.0,,,,,,,
36,5.0,,,,,,,
37,5.0,,,,,,,
38,5.0,,,,,,,
39,5.0,,,,,,,
